Order_ID,Order_Date,Category,Product,Region,Customer_Segment,Payment_Method,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Year,Month,Month_Name,Quarter
ORD100011,2025-09-06,Sports,Yoga Mat,West,Corporate,Credit Card,4.0,2393.0,0.08,8806.24,5934.64,2871.5999999999995,2025,9,Sep,Q3
ORD100012,2025-12-03,Electronics,Laptop,East,Consumer,COD,2.0,20121.0,0.06,37827.48,30583.92,7243.560000000005,2025,12,Dec,Q4
ORD100013,2025-11-16,Sports,Running Shoes,South,Consumer,Credit Card,1.0,2511.0,0.27,1833.03,1556.82,276.21000000000004,2025,11,Nov,Q4
ORD100014,2025-06-09,Electronics,Smartwatch,West,Corporate,UPI,1.0,15856.0,0.22,12367.68,12050.56,317.1200000000008,2025,6,Jun,Q2
ORD100015,2024-02-28,Beauty,Perfume,East,Consumer,COD,4.0,690.0,0.1,2484.0,1435.2,1048.8,2024,2,Feb,Q1
ORD100016,2024-03-27,Clothing,T-Shirt,Unknown,Consumer,UPI,1.0,1331.0,0.1,2395.8,1543.96,851.8400000000001,2024,3,Mar,Q1
ORD100017,2024-07-01,Beauty,Shampoo,South,Consumer,Net Banking,5.0,1638.0,0.24,6224.4,4258.8,1965.5999999999995,2024,7,Jul,Q3
ORD100018,2024-05-22,Sports,Running Shoes,Central,Consumer,Net Banking,5.0,3191.0,0.23,12285.35,9892.1,2393.25,2024,5,May,Q2
ORD100019,2024-05-09,Sports,Cricket Bat,North,Corporate,UPI,1.0,2511.0,0.17,2084.13,1556.82,527.3100000000002,2024,5,May,Q2
ORD100020,2024-05-16,Electronics,Smartwatch,North,Consumer,Debit Card,4.0,23186.0,0.19,75122.64,70485.44,4637.199999999997,2024,5,May,Q2
ORD100021,2025-08-29,Electronics,Laptop,West,Consumer,COD,2.0,26472.0,0.08,48708.48,40237.44,8471.04,2025,8,Aug,Q3
ORD100022,2025-06-18,Electronics,Tablet,East,Consumer,Debit Card,4.0,25819.0,0.16,86751.84,78489.76,8262.080000000002,2025,6,Jun,Q2
ORD100023,2024-01-21,Beauty,Face Serum,South,Consumer,Debit Card,1.0,940.0,0.08,864.8,488.8,375.99999999999994,2024,1,Jan,Q1
ORD100024,2024-12-11,Electronics,Smartphone,South,Consumer,UPI,1.0,11841.0,0.27,8643.93,8999.16,-355.22999999999956,2024,12,Dec,Q4
ORD100025,2025-10-29,Clothing,Dress,Central,Consumer,COD,2.0,2337.0,0.22,3645.72,2710.92,934.7999999999997,2025,10,Oct,Q4
ORD100026,2025-07-09,Electronics,Laptop,South,Consumer,Net Banking,2.0,23221.0,0.05,44119.9,35295.92,8823.980000000003,2025,7,Jul,Q3
ORD100027,2024-05-26,Home & Kitchen,Vacuum Cleaner,North,Corporate,UPI,2.0,4881.0,0.04,9371.52,6442.92,2928.6000000000004,2024,5,May,Q2
ORD100028,2024-09-10,Sports,Cricket Bat,South,Consumer,Credit Card,5.0,1902.0,0.24,7227.6,5896.2,1331.4000000000005,2024,9,Sep,Q3
ORD100029,2025-02-28,Home & Kitchen,Cookware Set,East,Consumer,Credit Card,1.0,6402.0,0.06,6017.88,4225.32,1792.5600000000004,2025,2,Feb,Q1
ORD100030,2025-04-01,Beauty,Face Serum,West,Consumer,COD,3.0,1450.0,0.12,3828.0,2262.0,1566.0,2025,4,Apr,Q2
ORD100031,2025-11-06,Beauty,Shampoo,Central,Consumer,COD,1.0,1161.0,0.25,870.75,603.72,267.03,2025,11,Nov,Q4
ORD100032,2025-12-06,Electronics,Laptop,West,Consumer,UPI,2.0,20552.0,0.11,36582.56,31239.04,5343.519999999997,2025,12,Dec,Q4
ORD100033,2024-07-08,Beauty,Makeup Kit,North,Consumer,COD,5.0,1634.0,0.19,6617.7,4248.4,2369.3,2024,7,Jul,Q3
ORD100034,2024-07-09,Electronics,Smartphone,South,Consumer,COD,1.0,25415.0,0.17,21094.45,19315.4,1779.0499999999993,2024,7,Jul,Q3
ORD100035,2025-12-20,Home & Kitchen,Blender,West,Corporate,Credit Card,3.0,2734.0,0.18,6725.64,5413.32,1312.3200000000006,2025,12,Dec,Q4
ORD100036,2024-03-23,Electronics,Smartwatch,Unknown,Consumer,Credit Card,2.0,24316.0,0.16,40850.88,36960.32,3890.5599999999977,2024,3,Mar,Q1
ORD100037,2025-04-21,Electronics,Smartphone,East,Consumer,Unknown,5.0,16701.0,0.22,65133.9,63463.8,1670.0999999999985,2025,4,Apr,Q2
ORD100038,2025-01-02,Sports,Cricket Bat,East,Corporate,Debit Card,4.0,2161.0,0.16,8298.24,5359.28,2938.96,2025,1,Jan,Q1
ORD100039,2025-08-15,Sports,Running Shoes,South,Small Business,UPI,2.0,3451.0,0.29,4900.42,4279.24,621.1800000000003,2025,8,Aug,Q3
ORD100040,2025-06-13,Sports,Cricket Bat,South,Consumer,Debit Card,2.0,2934.0,0.06,5515.92,3638.16,1877.7600000000002,2025,6,Jun,Q2
ORD100041,2025-04-22,Clothing,Jacket,North,Consumer,Net Banking,4.0,2053.0,0.16,6487.48,4762.96,1724.5199999999995,2025,4,Apr,Q2
ORD100042,2025-06-19,Home & Kitchen,Vacuum Cleaner,West,Corporate,COD,3.0,4998.0,0.03,14544.18,9896.04,4648.139999999999,2025,6,Jun,Q2
ORD100043,2024-07-11,Beauty,Shampoo,East,Consumer,Debit Card,2.0,719.0,0.05,1366.1,747.76,618.3399999999999,2024,7,Jul,Q3
ORD100044,2024-07-10,Electronics,Laptop,Central,Consumer,Net Banking,1.0,15754.0,0.26,11657.96,11973.04,-315.08000000000175,2024,7,Jul,Q3
ORD100045,2025-03-14,Sports,Cricket Bat,South,Corporate,UPI,5.0,3313.0,0.22,12920.7,10270.3,2650.4000000000015,2025,3,Mar,Q1
ORD100046,2025-07-22,Electronics,Tablet,South,Consumer,Net Banking,2.0,22044.0,0.14,37915.68,33506.88,4408.800000000003,2025,7,Jul,Q3
ORD100047,2024-08-03,Sports,Yoga Mat,North,Consumer,Credit Card,1.0,2654.0,0.14,2282.44,1645.48,636.96,2024,8,Aug,Q3
ORD100048,2024-06-21,Beauty,Moisturizer,Central,Consumer,UPI,3.0,1410.0,0.3,2961.0,2199.6,761.4000000000001,2024,6,Jun,Q2
ORD100049,2024-07-27,Home & Kitchen,Air Fryer,North,Consumer,COD,3.0,4329.0,0.21,10259.73,8571.42,1688.3099999999995,2024,7,Jul,Q3
ORD100050,2024-11-03,Beauty,Makeup Kit,Central,Consumer,UPI,2.0,778.0,0.06,1462.64,809.12,653.5200000000001,2024,11,Nov,Q4
ORD100051,2024-05-05,Beauty,Face Serum,West,Consumer,Debit Card,1.0,1056.0,0.04,1013.76,549.12,464.64,2024,5,May,Q2
ORD100052,2025-09-24,Beauty,Makeup Kit,South,Consumer,COD,3.0,987.0,0.2,2368.8,1539.72,829.0800000000002,2025,9,Sep,Q3
ORD100053,2025-04-07,Home & Kitchen,Air Fryer,North,Small Business,COD,1.0,4618.0,0.25,3463.5,3047.88,415.6199999999999,2025,4,Apr,Q2
ORD100054,2024-12-22,Beauty,Makeup Kit,East,Consumer,Credit Card,5.0,1017.0,0.08,4678.2,2644.2,2034.0,2024,12,Dec,Q4
ORD100055,2025-12-23,Beauty,Shampoo,South,Consumer,Debit Card,1.0,1274.0,0.06,1197.56,662.48,535.0799999999999,2025,12,Dec,Q4
ORD100056,2024-05-26,Sports,Dumbbells,East,Small Business,Net Banking,4.0,3512.0,0.03,13626.56,8709.76,4916.799999999999,2024,5,May,Q2
ORD100057,2024-08-23,Beauty,Makeup Kit,East,Consumer,Net Banking,1.0,1057.0,0.09,961.87,549.64,412.23,2024,8,Aug,Q3
ORD100058,2025-08-15,Home & Kitchen,Cookware Set,West,Consumer,Net Banking,5.0,4416.0,0.13,19209.6,14572.8,4636.799999999999,2025,8,Aug,Q3
ORD100059,2025-06-29,Beauty,Moisturizer,North,Small Business,Credit Card,5.0,824.0,0.24,3131.2,2142.4,988.7999999999997,2025,6,Jun,Q2
ORD100060,2025-10-26,Home & Kitchen,Cookware Set,East,Consumer,Debit Card,1.0,4227.0,0.07,3931.11,2789.82,1141.29,2025,10,Oct,Q4
ORD100061,2025-11-11,Home & Kitchen,Vacuum Cleaner,West,Consumer,Debit Card,1.0,6388.0,0.08,5876.96,4216.08,1660.88,2025,11,Nov,Q4
ORD100062,2025-08-25,Home & Kitchen,Cookware Set,South,Consumer,UPI,3.0,4030.0,0.03,11727.3,7979.4,3747.8999999999996,2025,8,Aug,Q3
ORD100063,2024-03-05,Clothing,Jacket,West,Small Business,COD,5.0,1953.0,0.09,8886.15,5663.7,3222.45,2024,3,Mar,Q1
ORD100064,2024-08-09,Beauty,Moisturizer,Central,Consumer,Debit Card,1.0,1066.0,0.12,938.08,554.32,383.76,2024,8,Aug,Q3
ORD100065,2024-06-11,Clothing,Jeans,East,Consumer,Credit Card,5.0,1004.0,0.05,4769.0,2911.6,1857.4,2024,6,Jun,Q2
ORD100066,2024-03-01,Clothing,Jeans,South,Consumer,Debit Card,3.0,1922.0,0.15,4901.1,3344.28,1556.8200000000002,2024,3,Mar,Q1
ORD100067,2025-02-24,Beauty,Shampoo,Central,Corporate,Credit Card,2.0,1325.0,0.07,2464.5,1378.0,1086.5,2025,2,Feb,Q1
ORD100068,2025-07-24,Beauty,Face Serum,East,Consumer,Debit Card,5.0,1326.0,0.03,6431.1,3447.6,2983.5000000000005,2025,7,Jul,Q3
ORD100069,2024-07-05,Clothing,Dress,Central,Consumer,COD,2.0,1710.0,0.25,2565.0,1983.6,581.4000000000001,2024,7,Jul,Q3
ORD100070,2025-07-04,Electronics,Headphones,East,Consumer,Net Banking,5.0,23811.0,0.3,83338.5,90481.8,-7143.300000000003,2025,7,Jul,Q3
ORD100071,2024-11-15,Sports,Cricket Bat,South,Consumer,Credit Card,1.0,2363.0,0.26,1748.62,1465.06,283.55999999999995,2024,11,Nov,Q4
ORD100072,2025-06-04,Beauty,Perfume,East,Small Business,UPI,1.0,1140.0,0.14,980.4,592.8,387.6,2025,6,Jun,Q2
ORD100073,2025-04-22,Home & Kitchen,Blender,East,Consumer,COD,1.0,3462.0,0.1,15579.0,11424.6,4154.4,2025,4,Apr,Q2
ORD100074,2024-01-11,Home & Kitchen,Cookware Set,South,Corporate,Net Banking,4.0,4073.0,0.18,13359.44,10752.72,2606.720000000001,2024,1,Jan,Q1
ORD100075,2025-12-27,Sports,Football,Central,Consumer,Credit Card,3.0,2506.0,0.11,6691.02,4661.16,2029.8600000000006,2025,12,Dec,Q4
ORD100076,2024-04-20,Beauty,Makeup Kit,Unknown,Consumer,Credit Card,2.0,1300.0,0.3,1820.0,1352.0,468.0,2024,4,Apr,Q2
ORD100077,2024-11-30,Sports,Running Shoes,East,Consumer,Credit Card,2.0,2767.0,0.22,4316.52,3431.08,885.4400000000005,2024,11,Nov,Q4
ORD100078,2025-01-10,Sports,Running Shoes,South,Consumer,COD,1.0,3070.0,0.03,2977.9,1903.4,1074.5,2025,1,Jan,Q1
ORD100079,2025-03-23,Sports,Cricket Bat,West,Small Business,UPI,1.0,1909.0,0.23,5879.72,4734.32,1145.4000000000005,2025,3,Mar,Q1
ORD100080,2025-05-27,Beauty,Perfume,South,Consumer,COD,1.0,932.0,0.29,661.72,484.64,177.08000000000004,2025,5,May,Q2
ORD100081,2025-03-31,Beauty,Shampoo,East,Corporate,COD,1.0,1111.0,0.05,1055.45,577.72,477.73,2025,3,Mar,Q1
ORD100082,2025-05-15,Electronics,Headphones,West,Consumer,Net Banking,1.0,29994.0,0.17,24895.02,22795.44,2099.5800000000017,2025,5,May,Q2
ORD100083,2025-02-03,Sports,Yoga Mat,Central,Corporate,COD,3.0,3395.0,0.26,7536.9,6314.7,1222.1999999999998,2025,2,Feb,Q1
ORD100084,2024-08-15,Beauty,Perfume,Central,Consumer,COD,3.0,1465.0,0.23,3384.15,2285.4,1098.75,2024,8,Aug,Q3
ORD100085,2024-01-13,Electronics,Smartwatch,North,Consumer,COD,4.0,17458.0,0.21,55167.28,53072.32,2094.959999999999,2024,1,Jan,Q1
ORD100086,2025-09-26,Clothing,T-Shirt,Central,Consumer,Net Banking,5.0,2259.0,0.24,8584.2,6551.1,2033.1000000000004,2025,9,Sep,Q3
ORD100087,2024-01-22,Clothing,T-Shirt,South,Consumer,Net Banking,5.0,2109.0,0.28,7592.4,6116.1,1476.2999999999993,2024,1,Jan,Q1
ORD100088,2024-07-04,Beauty,Makeup Kit,East,Consumer,Debit Card,4.0,826.0,0.17,2742.32,1718.08,1024.2400000000002,2024,7,Jul,Q3
ORD100089,2025-08-23,Clothing,Dress,Central,Consumer,Credit Card,4.0,1360.0,0.13,4732.8,3155.2,1577.6000000000004,2025,8,Aug,Q3
ORD100090,2025-08-09,Beauty,Moisturizer,West,Corporate,COD,3.0,1026.0,0.11,2739.42,1600.56,1138.8600000000001,2025,8,Aug,Q3
ORD100091,2024-03-26,Sports,Football,South,Small Business,Net Banking,5.0,2629.0,0.18,10778.9,8149.9,2629.0,2024,3,Mar,Q1
ORD100092,2025-08-11,Sports,Football,Unknown,Consumer,COD,1.0,1939.0,0.19,1570.59,1202.18,368.40999999999985,2025,8,Aug,Q3
ORD100093,2025-11-24,Electronics,Tablet,West,Consumer,Credit Card,2.0,24287.0,0.05,46145.3,36916.24,9229.060000000005,2025,11,Nov,Q4
ORD100094,2024-11-02,Sports,Dumbbells,Central,Consumer,UPI,4.0,2139.0,0.02,8384.88,5304.72,3080.159999999999,2024,11,Nov,Q4
ORD100095,2024-07-08,Beauty,Makeup Kit,North,Consumer,Credit Card,4.0,1668.0,0.13,5804.64,3469.44,2335.2000000000003,2024,7,Jul,Q3
ORD100096,2025-10-11,Home & Kitchen,Cookware Set,South,Consumer,Unknown,5.0,4405.0,0.1,19822.5,14536.5,5286.0,2025,10,Oct,Q4
ORD100097,2025-03-17,Clothing,T-Shirt,North,Consumer,Credit Card,4.0,1238.0,0.19,4011.12,2872.16,1138.96,2025,3,Mar,Q1
ORD100098,2025-03-02,Sports,Running Shoes,Central,Consumer,Credit Card,5.0,1872.0,0.13,8143.2,5803.2,2340.0,2025,3,Mar,Q1
ORD100099,2025-04-06,Sports,Football,East,Corporate,UPI,3.0,2862.0,0.15,7298.1,5323.32,1974.7800000000007,2025,4,Apr,Q2
ORD100100,2024-09-02,Home & Kitchen,Cookware Set,Central,Corporate,Net Banking,5.0,3696.0,0.16,13860.0,12196.8,1663.2000000000007,2024,9,Sep,Q3
ORD100101,2024-04-13,Home & Kitchen,Air Fryer,Central,Consumer,Debit Card,4.0,2943.0,0.12,10359.36,7769.52,2589.84,2024,4,Apr,Q2
ORD100102,2025-04-21,Clothing,T-Shirt,Central,Consumer,COD,4.0,2145.0,0.25,6435.0,4976.4,1458.6000000000004,2025,4,Apr,Q2
ORD100103,2024-11-05,Electronics,Headphones,Central,Consumer,Debit Card,2.0,19797.0,0.08,36426.48,30091.44,6335.0400000000045,2024,11,Nov,Q4
ORD100104,2024-04-10,Sports,Cricket Bat,North,Consumer,Net Banking,3.0,2412.0,0.24,5499.36,4486.32,1013.04,2024,4,Apr,Q2
ORD100105,2024-11-29,Clothing,Sneakers,East,Consumer,UPI,5.0,1593.0,0.14,6849.9,4619.7,2230.2,2024,11,Nov,Q4
ORD100106,2024-05-09,Sports,Football,South,Consumer,Credit Card,3.0,2103.0,0.08,5804.28,3911.58,1892.6999999999998,2024,5,May,Q2
ORD100107,2024-03-21,Electronics,Smartwatch,South,Corporate,Net Banking,5.0,23234.0,0.13,101067.9,88289.2,12778.699999999997,2024,3,Mar,Q1
ORD100108,2025-07-01,Clothing,Jacket,South,Consumer,UPI,2.0,1712.0,0.11,3047.36,1985.92,1061.44,2025,7,Jul,Q3
ORD100109,2024-07-04,Beauty,Face Serum,East,Consumer,Credit Card,4.0,1300.0,0.15,4420.0,2704.0,1716.0,2024,7,Jul,Q3
ORD100110,2025-05-20,Clothing,Sneakers,West,Consumer,UPI,5.0,1649.0,0.11,7338.05,4782.1,2555.95,2025,5,May,Q2
ORD100111,2024-01-03,Sports,Football,North,Consumer,Debit Card,5.0,1980.0,0.3,6930.0,6138.0,792.0,2024,1,Jan,Q1
ORD100112,2025-05-01,Home & Kitchen,Coffee Maker,West,Consumer,Net Banking,3.0,4753.0,0.15,12120.15,9410.94,2709.209999999999,2025,5,May,Q2
ORD100113,2024-07-18,Clothing,Dress,South,Corporate,COD,4.0,2033.0,0.05,7725.4,4716.56,3008.8399999999992,2024,7,Jul,Q3
ORD100114,2025-08-29,Home & Kitchen,Air Fryer,West,Consumer,COD,2.0,6805.0,0.11,12112.9,8982.6,3130.2999999999993,2025,8,Aug,Q3
ORD100115,2024-06-24,Home & Kitchen,Cookware Set,West,Consumer,COD,1.0,3460.0,0.24,2629.6,2283.6,346.0,2024,6,Jun,Q2
ORD100116,2024-09-15,Sports,Running Shoes,South,Corporate,Debit Card,5.0,2589.0,0.21,10226.55,8025.9,2200.6499999999996,2024,9,Sep,Q3
ORD100117,2025-01-03,Home & Kitchen,Coffee Maker,North,Consumer,Net Banking,4.0,6201.0,0.2,19843.2,16370.64,3472.5600000000013,2025,1,Jan,Q1
ORD100118,2025-10-13,Electronics,Headphones,East,Corporate,Credit Card,2.0,21462.0,0.06,40348.56,32622.24,7726.319999999996,2025,10,Oct,Q4
ORD100119,2025-08-01,Sports,Yoga Mat,North,Consumer,Net Banking,4.0,2089.0,0.03,8105.32,5180.72,2924.5999999999995,2025,8,Aug,Q3
ORD100120,2025-07-30,Home & Kitchen,Coffee Maker,West,Consumer,Net Banking,1.0,2426.0,0.23,1868.02,1601.16,266.8599999999999,2025,7,Jul,Q3
ORD100121,2025-05-23,Sports,Dumbbells,East,Consumer,UPI,4.0,1726.0,0.09,6282.64,4280.48,2002.1600000000008,2025,5,May,Q2
ORD100122,2024-01-11,Beauty,Perfume,East,Small Business,Net Banking,2.0,1077.0,0.09,1960.14,1120.08,840.0600000000002,2024,1,Jan,Q1
ORD100123,2025-03-19,Sports,Dumbbells,North,Consumer,Debit Card,5.0,2842.0,0.1,12789.0,8810.2,3978.7999999999993,2025,3,Mar,Q1
ORD100124,2024-03-19,Home & Kitchen,Air Fryer,East,Consumer,Net Banking,4.0,4429.0,0.16,13818.48,11692.56,2125.92,2024,3,Mar,Q1
ORD100125,2024-04-26,Beauty,Shampoo,West,Consumer,COD,1.0,990.0,0.29,702.9,514.8,188.10000000000002,2024,4,Apr,Q2
ORD100126,2025-09-10,Electronics,Smartwatch,Central,Consumer,Unknown,3.0,27622.0,0.18,67950.12,62978.16,4971.959999999992,2025,9,Sep,Q3
ORD100127,2024-12-08,Home & Kitchen,Cookware Set,Unknown,Corporate,COD,5.0,3452.0,0.28,12427.2,11391.6,1035.6000000000004,2024,12,Dec,Q4
ORD100128,2024-04-08,Beauty,Makeup Kit,Central,Consumer,UPI,4.0,1301.0,0.18,4267.28,2706.08,1561.1999999999998,2024,4,Apr,Q2
ORD100129,2025-01-04,Sports,Football,West,Consumer,UPI,5.0,3240.0,0.18,13284.0,10044.0,3240.0,2025,1,Jan,Q1
ORD100130,2025-06-03,Electronics,Smartphone,East,Consumer,Net Banking,3.0,22831.0,0.3,47945.1,52054.68,-4109.580000000002,2025,6,Jun,Q2
ORD100131,2025-01-25,Beauty,Perfume,North,Consumer,Credit Card,4.0,1234.0,0.08,4541.12,2566.72,1974.4,2025,1,Jan,Q1
ORD100132,2024-03-12,Home & Kitchen,Vacuum Cleaner,South,Consumer,UPI,1.0,2831.0,0.11,2519.59,1868.46,651.1300000000001,2024,3,Mar,Q1
ORD100133,2025-10-17,Sports,Football,South,Consumer,Credit Card,1.0,2614.0,0.17,6508.86,4862.04,1646.8199999999997,2025,10,Oct,Q4
ORD100134,2025-04-06,Sports,Dumbbells,South,Corporate,Unknown,3.0,3517.0,0.03,10234.47,6541.62,3692.8499999999995,2025,4,Apr,Q2
ORD100135,2025-07-07,Sports,Football,South,Consumer,COD,5.0,2791.0,0.26,10326.7,8652.1,1674.6000000000004,2025,7,Jul,Q3
ORD100136,2024-07-27,Clothing,Sneakers,Central,Consumer,Debit Card,1.0,2033.0,0.06,1911.02,1179.14,731.8799999999999,2024,7,Jul,Q3
ORD100137,2025-06-18,Home & Kitchen,Coffee Maker,North,Corporate,UPI,4.0,5368.0,0.1,19324.8,14171.52,5153.279999999999,2025,6,Jun,Q2
ORD100138,2025-07-05,Beauty,Shampoo,West,Consumer,Net Banking,3.0,1365.0,0.06,3849.3,2129.4,1719.9,2025,7,Jul,Q3
ORD100139,2025-05-22,Beauty,Face Serum,South,Corporate,UPI,4.0,815.0,0.1,2934.0,1695.2,1238.8,2025,5,May,Q2
ORD100140,2025-05-20,Clothing,Jeans,Central,Corporate,UPI,2.0,2127.0,0.08,3913.68,2467.32,1446.3599999999997,2025,5,May,Q2
ORD100141,2024-03-01,Sports,Yoga Mat,East,Corporate,Credit Card,1.0,1046.0,0.22,815.88,648.52,167.36,2024,3,Mar,Q1
ORD100142,2024-05-15,Electronics,Smartphone,Central,Consumer,UPI,3.0,14896.0,0.09,40666.08,33962.88,6703.200000000004,2024,5,May,Q2
ORD100143,2025-11-07,Beauty,Shampoo,Central,Consumer,UPI,1.0,961.0,0.07,893.73,499.72,394.01,2025,11,Nov,Q4
ORD100144,2024-04-03,Electronics,Laptop,Central,Consumer,Credit Card,2.0,23331.0,0.15,39662.7,35463.12,4199.5799999999945,2024,4,Apr,Q2
ORD100145,2024-10-28,Home & Kitchen,Cookware Set,Central,Consumer,UPI,2.0,4151.0,0.21,6558.58,5479.32,1079.2600000000002,2024,10,Oct,Q4
ORD100146,2024-06-27,Electronics,Tablet,North,Consumer,Credit Card,2.0,25666.0,0.04,49278.72,39012.32,10266.400000000001,2024,6,Jun,Q2
ORD100147,2025-04-26,Sports,Yoga Mat,South,Consumer,Unknown,1.0,3109.0,0.04,2984.64,1927.58,1057.06,2025,4,Apr,Q2
ORD100148,2025-06-11,Beauty,Moisturizer,East,Consumer,Debit Card,2.0,988.0,0.16,1659.84,1027.52,632.3199999999999,2025,6,Jun,Q2
ORD100149,2025-02-18,Home & Kitchen,Blender,East,Consumer,Debit Card,3.0,6348.0,0.05,18091.8,12569.04,5522.759999999998,2025,2,Feb,Q1
ORD100150,2025-08-26,Clothing,T-Shirt,East,Consumer,COD,2.0,1884.0,0.1,3391.2,2185.44,1205.7599999999998,2025,8,Aug,Q3
ORD100151,2024-03-21,Electronics,Smartphone,Central,Small Business,COD,4.0,16804.0,0.27,49067.68,51084.16,-2016.4800000000032,2024,3,Mar,Q1
ORD100152,2024-06-05,Clothing,Sneakers,North,Consumer,UPI,4.0,1858.0,0.03,7209.04,4310.56,2898.4799999999996,2024,6,Jun,Q2
ORD100153,2025-04-30,Electronics,Tablet,North,Consumer,Debit Card,2.0,26602.0,0.14,45755.44,40435.04,5320.4000000000015,2025,4,Apr,Q2
ORD100154,2025-04-02,Clothing,Jacket,South,Consumer,UPI,4.0,2239.0,0.18,7343.92,5194.48,2149.4400000000005,2025,4,Apr,Q2
ORD100155,2025-09-17,Home & Kitchen,Vacuum Cleaner,Central,Consumer,COD,1.0,4145.0,0.16,2984.4,2735.7,248.70000000000027,2025,9,Sep,Q3
ORD100156,2025-10-25,Home & Kitchen,Vacuum Cleaner,North,Consumer,UPI,3.0,3720.0,0.28,8035.2,7365.6,669.5999999999995,2025,10,Oct,Q4
ORD100157,2025-11-19,Beauty,Moisturizer,Central,Consumer,Debit Card,5.0,1325.0,0.09,6028.75,3445.0,2583.75,2025,11,Nov,Q4
ORD100158,2025-08-22,Home & Kitchen,Coffee Maker,Central,Consumer,COD,1.0,3551.0,0.3,2485.7,2343.66,142.03999999999996,2025,8,Aug,Q3
ORD100159,2025-09-20,Electronics,Tablet,West,Consumer,Debit Card,2.0,22036.5,0.23,41398.28,40860.64,537.6399999999994,2025,9,Sep,Q3
ORD100160,2025-06-04,Electronics,Tablet,Central,Consumer,Debit Card,1.0,19749.0,0.03,19156.53,15009.24,4147.289999999999,2025,6,Jun,Q2
ORD100161,2025-12-02,Home & Kitchen,Air Fryer,South,Consumer,Debit Card,4.0,3191.0,0.1,11487.6,8424.24,3063.3600000000006,2025,12,Dec,Q4
ORD100162,2024-04-18,Home & Kitchen,Cookware Set,East,Small Business,Credit Card,3.0,5405.0,0.17,13458.45,10701.9,2756.550000000001,2024,4,Apr,Q2
ORD100163,2025-09-07,Home & Kitchen,Vacuum Cleaner,East,Consumer,Net Banking,5.0,2917.0,0.1,13126.5,9626.1,3500.3999999999996,2025,9,Sep,Q3
ORD100164,2025-03-31,Beauty,Perfume,Unknown,Consumer,Unknown,1.0,1713.0,0.16,1284.75,890.76,393.99,2025,3,Mar,Q1
ORD100165,2025-07-19,Clothing,Sneakers,East,Consumer,Debit Card,2.0,1284.0,0.21,2028.72,1489.44,539.28,2025,7,Jul,Q3
ORD100166,2024-05-19,Electronics,Smartwatch,North,Consumer,COD,4.0,18322.0,0.28,52767.36,55698.88,-2931.519999999997,2024,5,May,Q2
ORD100167,2024-06-29,Clothing,Sneakers,North,Consumer,COD,4.0,1504.0,0.18,4933.12,3489.28,1443.8399999999997,2024,6,Jun,Q2
ORD100168,2025-01-31,Clothing,T-Shirt,West,Consumer,COD,4.0,1062.0,0.13,3695.76,2463.84,1231.92,2025,1,Jan,Q1
ORD100169,2024-02-22,Sports,Dumbbells,West,Consumer,Net Banking,3.0,2768.0,0.06,7805.76,5148.48,2657.2800000000007,2024,2,Feb,Q1
ORD100170,2024-01-13,Clothing,Sneakers,West,Small Business,Net Banking,3.0,1800.5,0.17,3107.52,2171.52,936.0,2024,1,Jan,Q1
ORD100171,2024-07-03,Beauty,Face Serum,North,Corporate,UPI,3.0,1236.0,0.26,2743.92,1928.16,815.76,2024,7,Jul,Q3
